"Cattle and calves, farm and meat production"
"Frequency: Annual"
"Table: 32-10-0125-01 (formerly CANSIM 003-0026)"
"Release date: 2022-02-28"
"Geography: Canada"
""
""

"Geography","Canada",,,,,,,,,,,,,,,
"Livestock statistics","Total slaughterings, farm and meat production 1",,"Inspected slaughterings of farm production 2",,"Uninspected slaughterings of farm production",,"Estimated output of farm production",,"Live imports for slaughter of farm production",,"Live exports of farm production",,"Average cold dressed weight of meat production 3 4 5",,"Edible offal, meat production 4",
"Livestock","Cattle  (x 1,000)","Calves  (x 1,000)","Cattle  (x 1,000)","Calves  (x 1,000)","Cattle  (x 1,000)","Calves  (x 1,000)","Cattle  (x 1,000)","Calves  (x 1,000)","Cattle  (x 1,000)","Calves  (x 1,000)","Cattle  (x 1,000)","Calves  (x 1,000)","Cattle","Calves","Cattle","Calves"
"Reference period"
,"Head",,,,,,,,,,,,"Kilograms",,"Tonnes",
"1990","2,892.0","462.3","2,859.4","453.0","32.6","9.3","3,701.1","522.8","13.4","0.6","822.5","61.1","296.7","91.2","27,236","944"
"1991","2,726.1","426.5","2,694.8","417.6","31.3","8.9","3,523.8","514.5","43.2","0.3","840.9","88.3","301.8","101.2","25,657","870"
"1992","2,834.8","397.1","2,803.5","387.9","31.3","9.2","4,042.0","460.7","33.2","3.4","1,240.4","67.0","302.2","106.1","26,717","811"
"1993","2,685.0","347.5","2,653.6","338.2","31.4","9.3","3,825.1","382.2","48.0","12.6","1,188.1","47.3","306.3","107.4","25,310","709"
"1994","2,727.4","336.9","2,695.3","327.2","32.1","9.7","3,614.9","349.3","95.1","22.1","982.6","34.5","316.0","111.6","26,860","726"
"1995","2,791.3","354.8","2,759.9","345.5","31.4","9.3","3,821.5","373.7","78.6","7.9","1,108.8","26.8","318.1","113.6","28,741","764"
"1996","3,143.2","363.0","3,111.3","353.7","31.9","9.3","4,577.5","381.6","46.8","13.3","1,481.1","31.9","310.5","111.3","33,102","823"
"1997","3,257.7","373.1","3,225.4","363.2","32.3","9.9","4,554.8","412.9","34.7","9.2","1,331.8","49.0","321.5","112.9","35,103","846"
"1998","3,405.5","349.7","3,373.3","339.8","32.2","9.9","4,631.8","349.7","62.4","26.7","1,288.7","26.7","334.9","118.5","36,710","793"
"1999","3,587.9","347.4","3,555.8","337.6","32.1","9.8","4,363.4","323.2","182.0","52.8","957.5","28.6","340.7","118.3","38,721","788"
"2000","3,496.8","339.3","3,463.5","329.2","33.3","10.1","4,174.8","308.6","260.1","57.4","938.1","26.7","349.6","120.3","39,215","770"
"2001","3,461.2","343.4","3,428.6","333.2","32.6","10.2","4,489.3","313.9","223.3","85.3","1,251.4","55.8","352.8","118.3","38,795","779"
"2002","3,529.9","320.7","3,497.5","310.6","32.4","10.1","5,012.0","403.6","60.6","62.5","1,542.7","145.4","356.8","118.8","39,606","728"
"2003","3,224.9","349.3","3,186.4","338.8","38.5","10.5","3,681.5","343.7","22.6","32.0","479.2","26.4","360.4","118.7","26,057","792"
"2004","4,072.5","377.2","4,020.6","367.7","51.9","9.5","4,064.7","366.3","7.8","10.9","0.0","0.0","357.7","115.2","32,921","856"
"2005","4,043.1","356.7","3,976.9","347.0","66.2","9.7","4,583.2","354.4","4.9","16.2","545.0","13.9","353.7","112.4","44,275","809"
"2006","3,643.2","328.7","3,593.2","320.0","50.0","8.7","4,636.0","329.7","19.1","18.9","1,011.9","19.9","354.6","112.5","32,458","746"
"2007","3,490.2","330.2","3,455.4","320.5","34.8","9.7","4,783.2","395.2","30.6","22.8","1,323.6","87.8","355.0","116.9","39,842","749"
"2008","3,527.1","322.1","3,494.4","312.4","32.7","9.7","4,967.6","430.2","28.3","21.0","1,468.8","129.1","355.0","115.9","41,833","731"
